NOTE: NEW CODES ARE INTRODUCED IN OCTOBER AND OLD CODES ARE PHASED OUT IN SEPTEMBER.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION'
'     ','0  ','No PROC          ',"INVALID CODES IN USER DATA"
'0101 ','1  ','Inc/exc CNS      ',"CISTERNAL PUNCTURE"
'0109 ','1  ','Inc/exc CNS      ',"CRANIAL PUNCTURE NEC"
'0121 ','1  ','Inc/exc CNS      ',"CRANIAL SINUS I & D"
'0122 ','1  ','Inc/exc CNS      ',"REMOV INTRACRAN STIMULAT"
'0123 ','1  ','Inc/exc CNS      ',"REOPEN CRANIOTOMY SITE"
'0124 ','1  ','Inc/exc CNS      ',"OTHER CRANIOTOMY"
'0125 ','1  ','Inc/exc CNS      ',"OTHER CRANIECTOMY"
'0126 ','1  ','Incision and     ',"INS CATH-CRANIAL CAVITY (Begin 2005)"
'0127 ','1  ','Incision and     ',"REM CATH-CRANIAL CAVITY (Begin 2005)"
'0128 ','1  ','Inc/exc CNS      ',"INTRACEREB CTH-BURR HOLE (Begin 2006)"
'0131 ','1  ','Inc/exc CNS      ',"INCISE CEREBRAL MENINGES"
'0132 ','1  ','Inc/exc CNS      ',"LOBOTOMY & TRACTOTOMY"
'0139 ','1  ','Inc/exc CNS      ',"OTHER BRAIN INCISION"
'0141 ','1  ','Inc/exc CNS      ',"THALAMUS OPERATIONS"
'0142 ','1  ','Inc/exc CNS      ',"GLOBUS PALLIDUS OPS"
'0151 ','1  ','Inc/exc CNS      ',"EX CEREB MENINGEAL LES"
'0152 ','1  ','Inc/exc CNS      ',"HEMISPHERECTOMY"
'0153 ','1  ','Inc/exc CNS      ',"BRAIN LOBECTOMY"
'0159 ','1  ','Inc/exc CNS      ',"OTHER BRAIN EXCISION"
'0231 ','2  ','Extcrn shunt     ',"VENTRICL SHUNT-HEAD/NECK"
'0232 ','2  ','Extcrn shunt     ',"VENTRI SHUNT-CIRCULA SYS"
'0233 ','2  ','Extcrn shunt     ',"VENTRICL SHUNT-THORAX"
'0234 ','2  ','Extcrn shunt     ',"VENTRICL SHUNT-ABDOMEN"
'0235 ','2  ','Extcrn shunt     ',"VENTRI SHUNT-UNINARY SYS"
'0239 ','2  ','Extcrn shunt     ',"OTHER VENTRICULAR SHUNT"
'0242 ','2  ','Extcrn shunt     ',"REPLACE VENTRICLE SHUNT"
'0243 ','2  ','Extcrn shunt     ',"REMOVE VENTRICLE SHUNT"
