,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
0,0,442.0,0.525181419599709,0.6249172288646805,0.5931094397010274,0.5659176634404841,0.00021005806361367886,0.00022440417734670561,0.0002213173850957822,0.00020665003592822446,2.297836641640651e-11,4.870626101261598e-07,0.0013799345466379192,1.9772126588749064e-08,4.976765900515723e-06,0.019276601570792695
1,1,7180.0,0.5824785389792687,0.602588389875523,0.6111989465271471,0.61224384543501,1.1873310202233964e-05,1.3221429508391558e-05,1.3661399320664253e-05,1.2572015007906141e-05,3.3923846586745453e-11,1.7515563215166207e-21,6.0639228859258344e-33,5.613220507246293e-15,0.0012364184533541348,0.7273524029307696
2,2,3703.0,0.7851033213677159,0.7637130397508799,0.7716437205683933,0.7908950227455506,1.5839124340435458e-05,1.9662607812461067e-05,1.906621943173935e-05,1.6845407583107343e-05,1.6081272050071974e-12,1.0979978257577126e-06,0.029499569800544186,1.490663362215174e-15,9.881523990138208e-20,1.5380313834681909e-12
3,3,42003.0,0.9294613187785616,0.9174245064406259,0.918554211188565,0.9223699092247422,6.028105606730018e-07,7.601518487484284e-07,7.40470562670688e-07,7.510704561989765e-07,1.236130093570079e-111,1.3694947652320926e-103,6.779647083118546e-44,1.4871610447720484e-08,3.5156737990499854e-14,3.5373909871043397e-09
4,4,12040.0,0.58249682869382,0.6264188331359324,0.5961478575927472,0.5654124433650467,6.5602308291783235e-06,7.248876080996578e-06,7.3240949493109976e-06,6.970597604235282e-06,1.316200101754194e-59,1.9235016479049115e-07,1.3955319746053752e-16,1.3636631430189433e-226,2.302644407314748e-136,1.0755425433852586e-38
5,5,10649.0,0.7874894586154363,0.7868293931299969,0.7926357963658738,0.8097090747432892,6.0395590662817885e-06,6.940080351955833e-06,6.67745661752248e-06,5.866873274735912e-06,0.7409979924791106,0.007790451864317344,8.91883290548321e-37,3.8466520405090034e-14,1.485663922586426e-29,2.4598864767440357e-18
6,6,14253.0,0.5376733132370538,0.5716031189385388,0.5721966412931924,0.6796743349876274,6.903998674133568e-06,7.238612494641275e-06,7.0516725198557046e-06,6.05853345845167e-06,7.76291087442653e-40,5.721635126549636e-41,0.0,0.46099650924303914,0.0,0.0
7,7,13166.0,0.8600027553281897,0.8692744331101994,0.8707105790244392,0.8841455364889321,3.9886790273994055e-06,3.871196182457543e-06,3.694071573494655e-06,3.563345969672274e-06,4.917921041210515e-12,2.1449753365835854e-17,2.2939149793823153e-97,0.012608945575826778,3.400300014775514e-28,2.060948680080783e-27
8,8,37761.0,0.8399273339281043,0.8388509577459541,0.8371022743056031,0.8261169448630892,1.7028965347216784e-06,1.7964352976344612e-06,1.7660514968690394e-06,1.9896345082866133e-06,0.19231973665209723,0.00026355047787271995,3.3907029260443786e-68,5.750557499104107e-06,7.850299268368752e-39,2.5133110356394615e-29
9,9,706.0,0.6551560645852,0.607986116624354,0.6176908406816458,0.6564047537625172,0.00012252644411917885,0.00012924947558598887,0.00013674725226830452,0.0001345110292097617,1.7271253579074003e-06,0.0002250870435441828,0.8606251424396079,0.005861303766638813,1.0046621928132939e-06,7.670411476108922e-05
10,10,29786.0,0.9007071697843985,0.905607379952997,0.9081315997346607,0.8999699911537187,1.0088196172107142e-06,1.10851545432194e-06,1.0641860403121292e-06,1.0775003994436154e-06,5.98592981708635e-13,3.4053084873794327e-29,0.24704207930651279,1.5928081931140762e-26,1.8453590327051086e-12,4.445499205589491e-25
11,11,3044.0,0.6549368620971273,0.672118614228023,0.6590885280149257,0.6556952951971566,3.373718538328451e-05,3.1781719642313954e-05,3.3637552441788194e-05,3.437076289011369e-05,1.0277776618982948e-05,0.2651992029743315,0.8218225593579936,3.925878480722412e-15,9.576400329683297e-05,0.3890213424650125
