,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
0,0,59.0,0.7491962327537158,0.7063151730274843,0.7031794008493707,0.770118864988084,0.0014243619612877513,0.001647514606860433,0.0016410279607237328,0.0014690016759461857,0.19724331435289477,0.1608126517203925,0.43879340006789114,0.6679042521078351,0.08430459148384363,0.06502091144657991
1,1,1021.0,0.6335394868048672,0.6590326358071208,0.6401720672399384,0.643478518423697,9.675877911163106e-05,9.138113985693426e-05,9.698556505771806e-05,9.399027826610792e-05,7.815053966642775e-05,0.26180838963421804,0.05079818190703752,1.3009538626568115e-07,0.011431798821594822,0.5687280098155172
2,2,545.0,0.823665270230752,0.8421845607687652,0.8262514876803069,0.8299252249372625,8.805056968261564e-05,7.077891080623255e-05,8.667083019659397e-05,9.01926453443271e-05,0.0002101325447605558,0.5650381536572855,0.1117973771949921,8.923620404319749e-07,0.01702250766353815,0.41483232523930935
3,3,5977.0,0.941392941396944,0.9399680241991928,0.9349530153938592,0.9424805871303148,3.4759103618370115e-06,3.3637756786394675e-06,3.870227347279585e-06,3.2562481442555723e-06,0.22065888458988347,2.0301474845895997e-08,0.15726876957413838,3.1035947461795735e-12,0.025842847878987815,3.7037889030688864e-11
4,4,1790.0,0.7363300311620481,0.7259550445939654,0.7215489415649188,0.7293171810231702,4.102027724497587e-05,4.375843212787322e-05,4.4450812836505125e-05,4.154416733343638e-05,0.022135250919320823,0.0007002963138136179,0.019668610317352335,0.00800080210595428,0.44081322086365093,0.06278556466763559
5,5,1631.0,0.8457441475899693,0.8339351320388073,0.8270818841348048,0.85720497664463,3.743863344512837e-05,3.605354793277416e-05,3.9074181124836855e-05,3.294685105057183e-05,0.012990320985443818,9.622580417231532e-05,0.0004206458031908349,1.7648828331947953e-05,8.395262399982096e-07,6.340089551314889e-10
6,6,2063.0,0.8987727922266987,0.9165541205692815,0.891378655457328,0.8993876249792826,1.4183466624177931e-05,1.1417957311891875e-05,1.6023001995419372e-05,1.4208353865431244e-05,3.4903508551343776e-11,0.0001882787662413599,0.6347894952951314,5.523889840133726e-26,1.866761982488263e-10,5.4956137368852255e-05
7,7,1862.0,0.915892622181759,0.9113712716837545,0.904066100421756,0.9162497672362669,1.5078553886590405e-05,1.483376821768095e-05,1.6910267926017383e-05,1.5272009198142802e-05,0.047320628483475215,6.00847750205049e-08,0.8133058721132093,3.4663034301657395e-07,0.028758368246074927,7.2283992124790305e-09
8,8,5368.0,0.8437127308254794,0.8529398520126018,0.8481405424922146,0.8580753008589898,1.2631549624219809e-05,1.1716197188088169e-05,1.2343363209540876e-05,1.1350897802614347e-05,4.844203268104168e-05,0.04395652301657295,6.948151266391393e-16,1.1379911903336609e-06,0.013160433385107041,7.720677572698957e-07
9,9,87.0,0.704146359650556,0.7233667042854403,0.720952902803646,0.7525415712582516,0.0009044787672847722,0.0007372115393134113,0.0007755174534879444,0.0007446239136740075,0.34547910547335947,0.3808211964249095,0.0027771224191747656,0.6870106459407054,0.15670186128782296,0.12192002666492238
