,ITEMID,LABEL,CATEGORY,MIN,MAX
1,50,Apnea Time Interval,,20.0,20.0
29,436,Low Insp. Pressure,,10.0,10.0
30,439,MDI #1 [Puff],,6.0,6.0
31,440,MDI #2 [Puff],,6.0,6.0
34,454,Motor Response,,6.0,6.0
46,498,PCA Lockout (Min),,6.0,6.0
53,519,Pacer Wires Atrial,,2.0,2.0
54,521,Pacer Wires Vent,,2.0,2.0
73,631,Sensitivity-Vent,,2.0,2.0
89,733,Weight Change,,0.0,0.0
90,742,calprevflg,,1.0,1.0
191,5817,NBP Alarm [Low],,90.0,90.0
193,5819,Resp Alarm [Low],,8.0,8.0
208,8549,HR Alarm [High],,120.0,120.0
209,8551,NBP Alarm [High],,160.0,160.0
212,8554,SpO2 Alarm [High],,100.0,100.0
313,51087,Length of Urine Collection,Chemistry,24.0,24.0
344,51255,Myelocytes,Hematology,0.0,0.0
388,220046,Heart rate Alarm - High,Alarms,120.0,120.0
430,223751,Non-Invasive Blood Pressure Alarm - High,Alarms,160.0,160.0
431,223752,Non-Invasive Blood Pressure Alarm - Low,Alarms,90.0,90.0
432,223753,Riker-SAS Scale,Pain/Sedation,4.0,4.0
435,223769,O2 Saturation Pulseoxymetry Alarm - High,Alarms,100.0,100.0
442,223848,Ventilator Type,Respiratory,1.0,1.0
444,223872,Inspired Gas Temp.,Respiratory,37.0,37.0
448,223876,Apnea Interval,Respiratory,20.0,20.0
450,223901,GCS - Motor Response,Neurological,6.0,6.0
452,223962,Temporary Pacemaker Wires Venticular,Cardiovascular (Pacer Data),2.0,2.0
455,224056,Braden Activity,Skin - Assessment,1.0,1.0
458,224059,Braden Friction/Shear,Skin - Assessment,2.0,2.0
460,224162,Resp Alarm - Low,Alarms,8.0,8.0
461,224168,Parameters Checked,Alarms,1.0,1.0
462,224169,MDI #1 Puff,Respiratory,6.0,6.0
463,224172,MDI #2 Puff,Respiratory,6.0,6.0
472,224564,Impaired Skin Odor #1,Skin - Impairment,0.0,0.0
475,224641,Alarms On,Alarms,1.0,1.0
491,224839,Temporary Pacemaker Wires Atrial,Cardiovascular (Pacer Data),2.0,2.0
495,224923,Impaired Skin Odor #2,Skin - Impairment,0.0,0.0
496,224924,Impaired Skin Odor #3,Skin - Impairment,0.0,0.0
497,224925,Impaired Skin Odor #4,Skin - Impairment,0.0,0.0
503,225070,Unable to assess psychological,Adm History/FHPA,1.0,1.0
504,225074,Any fear in relationships,Adm History/FHPA,0.0,0.0
505,225076,Emotional / physical / sexual harm by partner or close relation,Adm History/FHPA,0.0,0.0
507,225082,Pregnant,Adm History/FHPA,0.0,0.0
508,225085,Post menopausal,Adm History/FHPA,1.0,1.0
509,225086,Unable to assess cognitive / perceptual,Adm History/FHPA,1.0,1.0
511,225091,Unable to assess activity / mobility,Adm History/FHPA,1.0,1.0
515,225105,Unable to assess habits,Adm History/FHPA,1.0,1.0
