icd_code,icd_version
5723   ,9
78959  ,9
5715   ,9
07070  ,9
496    ,9
29680  ,9
30981  ,9
V1582  ,9
07071  ,9
2875   ,9
2761   ,9
V08    ,9
3051   ,9
07054  ,9
V462   ,9
2767   ,9
78791  ,9
45829  ,9
07044  ,9
7994   ,9
V4986  ,9
I130   ,10
I5033  ,10
E872   ,10
N184   ,10
E1122  ,10
N2581  ,10
I2510  ,10
E11319 ,10
D6489  ,10
E785   ,10
Z955   ,10
Z86718 ,10
I252   ,10
Z2239  ,10
G4700  ,10
M1A9XX0,10
R0902  ,10
E1151  ,10
Z794   ,10
E669   ,10
Z6831  ,10
42823  ,9
5854   ,9
25000  ,9
28521  ,9
27800  ,9
2724   ,9
40390  ,9
4280   ,9
41401  ,9
V4582  ,9
V1254  ,9
V1581  ,9
V5866  ,9
V5863  ,9
412    ,9
44021  ,9
V5867  ,9
4139   ,9
V8532  ,9
53081  ,9
45342  ,9
53551  ,9
25040  ,9
5849   ,9
3572   ,9
42832  ,9
28749  ,9
2851   ,9
53561  ,9
9992   ,9
V5861  ,9
25060  ,9
58381  ,9
V8522  ,9
72992  ,9
E9342  ,9
79092  ,9
45182  ,9
E8497  ,9
D500   ,10
I5023  ,10
E118   ,10
K2970  ,10
Z23    ,10
K259   ,10
K5730  ,10
Z87891 ,10
I129   ,10
Z8673  ,10
R0789  ,10
R791   ,10
T45515A,10
I70218 ,10
K222   ,10
K219   ,10
41071  ,9
41412  ,9
4240   ,9
5303   ,9
V0481  ,9
42833  ,9
41189  ,9
5853   ,9
D631   ,10
E1121  ,10
Z7901  ,10
I340   ,10
Z91128 ,10
3240   ,9
3484   ,9
3485   ,9
5180   ,9
340    ,9
04109  ,9
4019   ,9
V168   ,9
V161   ,9
04102  ,9
04184  ,9
J441   ,10
E876   ,10
I10    ,10
E780   ,10
Z9981  ,10
4263   ,9
78659  ,9
49320  ,9
42789  ,9
E9457  ,9
56210  ,9
V4364  ,9
7850   ,9
I4891  ,10
4871   ,9
49322  ,9
49122  ,9
49392  ,9
78650  ,9
N179   ,10
D649   ,10
G5622  ,10
M1990  ,10
Z96649 ,10
J45909 ,10
F419   ,10
R040   ,10
I739   ,10
486    ,9
71590  ,9
42731  ,9
30000  ,9
4439   ,9
42732  ,9
78652  ,9
37993  ,9
71530  ,9
K7200  ,10
R579   ,10
J9602  ,10
J9601  ,10
I442   ,10
I82621 ,10
D696   ,10
I469   ,10
M47892 ,10
I7389  ,10
Z96641 ,10
J0190  ,10
R609   ,10
D509   ,10
R509   ,10
Y92239 ,10
Z7952  ,10
Z825   ,10
Z781   ,10
