,group,dose_impact,group_decision,label,amountuom,rate_normaliser,n_subjects,n,mean_amount,std_amount,mean_amount_per_hour,std_amount_per_hour,mean_interval_minutes,std_interval_minutes,p_subjects,comment,Unnamed: 16
0,ACD-A Citrate,Y,sum,ACD-A Citrate (1000ml),ml,1.0,1331,30619,871.476772790975,267.588827251042,188.309052985995,55.5135158117252,288.599921617296,110.159568560451,0.0261390416339356,,
1,ACD-A Citrate,Y,sum,ACD-A Citrate (500ml),ml,1.0,32,585,631.250567426845,271.469905493835,181.065293874496,64.394168924172,214.500854700855,89.9815644129381,0.0006284367635506,,
2,Abciximab,N,or,Abciximab (Reopro),mg,1.0,7,7,5.04394654646084,2.518940879017,0.681447020594663,0.117999047624377,470.142857142857,272.331555627467,0.0001374705420267,,
3,Acetaminophen-IV,N,or,Acetaminophen-IV,dose,1.0,6,6,1.0,0.0,60.0,0.0,1.0,0.0,0.0001178318931657,,
4,Acetaminophen-IV,N,or,Acetaminophen-IV,grams,1.0,22,41,1.0,0.0,60.0,0.0,1.0,0.0,0.000432050274941,,
5,Acetaminophen-IV,N,or,Acetaminophen-IV,mg,1.0,14869,64828,985.431477363696,100.351009156398,36702.7490370371,27503.6449102828,6.61931572777195,7.09743477196018,0.29200706991359,,
6,Acetylcysteine,N,or,Acetylcysteine,mcg,1.0,1,1,14999.9989662319,100.351009156398,14999.9989662319,27503.6449102828,60.0,7.09743477196018,1.96386488609584e-05,,
7,Acetylcysteine,N,or,Acetylcysteine,mg,1.0,228,953,6760.49949070657,4070.81844692469,1764.26045562293,8979.99221296391,570.119622245541,384.376323340024,0.0044776119402985,,
8,Adenosine,N,or,Adenosine,mg,1.0,230,433,7.10161669420694,2.71037485625397,426.097001652416,162.622491375238,1.0,0.0,0.0045168892380204,,
9,Albumin 25%,Y,w_sum,Albumin 25%,ml,1.0,3824,22819,71.9791986431398,55.9077582624878,149.527284968035,107.2833526531,32.6775055874491,20.0437878133601,0.0750981932443048,,
10,Albumin 25%,Y,w_sum,Albumin 5%,ml,1.0,8388,26008,349.09264438145,128.384693385024,465.74377133297,288.988205991114,53.1028914180252,24.4898757609548,0.164728986645719,,
11,Alteplase (TPA),N,or,Alteplase (TPA),mg,1.0,231,678,14.8311856755258,22.870183457389,7.84227643158068,38.8017032011667,558.523598820059,552.980781439719,0.0045365278868813,,
12,Ambisome,N,or,Ambisome,dose,1.0,162,761,1.0,0.0,60.0,0.0,1.0,0.0,0.0031814611154752,,
13,Ambisome,N,or,Ambisome,mg,1.0,6,7,303.571439215115,147.498995195524,18214.2863529069,8849.93971173141,1.0,0.0,0.0001178318931657,,
14,Amikacin,N,or,Amikacin,dose,1.0,91,344,1.0,0.0,60.0,0.0,1.0,0.0,0.0017871170463472,,
15,Amikacin,N,or,Amikacin,mg,1.0,4,6,846.666683753332,196.638405946102,50800.0010251999,11798.3043567661,1.0,0.0,7.85545954438335e-05,,
16,Amino Acids,N,or,Amino Acids,dose,1.0,2,4,0.856969478962128,0.481571543926421,0.0523346799309365,0.0121532037062434,976.75,468.770288449826,3.92772977219167e-05,,
17,Amino Acids,N,or,Amino Acids,grams,1.0,651,3823,92.3719597637226,1339.88811570918,5.17489629509507,57.7147792820637,1051.16479204813,519.138390300588,0.0127847604084839,,
18,Aminocaproic acid (Amicar),N,or,Aminocaproic acid (Amicar),grams,1.0,41,203,5.80640243245243,2.8649581873213,2.05898579017356,1.50498026091712,293.650246305419,245.53288347745,0.0008051846032992,,
19,Aminocaproic acid (Amicar),N,or,Aminocaproic acid (Amicar),mg,1.0,7,58,4750.55014733867,1161.69643452337,951.9821463217,154.891211188831,312.0,107.90850575388,0.0001374705420267,,
20,Aminophylline,N,or,Aminophylline,mg,1.0,3,20,231.731532613048,52.1949207470608,37.8324589692056,9.03931796320862,387.1,114.883877298592,5.89159465828751e-05,,
21,Amiodarone,N,or,Amiodarone,mg,1.0,3189,8917,238.969788655743,154.734290917422,4553.23063546974,4653.5552794995,253.318268475945,347.933363236139,0.0626276512175962,,
22,Amiodarone,N,or,Amiodarone 450/250,mg,1.0,569,3044,291.959920683961,158.10665594518,41.7076064070667,19.2122648163533,460.036465177398,299.647851678542,0.0111743912018853,,
23,Amiodarone,N,or,Amiodarone 600/500,mg,1.0,1677,7660,343.318195829957,183.672099995842,47.6618268954415,320.611195005706,537.514751958225,354.476466625696,0.0329340141398272,,
24,Ampicillin,N,or,Ampicillin,dose,1.0,1374,9822,1.01028303807778,0.99933596796134,60.6169822846671,59.9601580776804,1.0,0.0,0.0269835035349568,,
25,Ampicillin,N,or,Ampicillin,grams,1.0,45,237,2.10970464135021,0.396743520259874,126.582278481013,23.8046112155924,1.0,0.0,0.0008837391987431,,
26,Ampicillin,N,or,Ampicillin,mg,1.0,3,10,500.0,0.0,30000.0,0.0,1.0,0.0,5.89159465828751e-05,,
27,Ampicillin/Sulbactam (Unasyn),N,or,Ampicillin/Sulbactam (Unasyn),dose,1.0,1312,7795,1.00102629890956,0.045296884558104,60.0615779345734,2.71781307348623,1.0,0.0,0.0257659073055774,,
28,Ampicillin/Sulbactam (Unasyn),N,or,Ampicillin/Sulbactam (Unasyn),grams,1.0,52,251,2.96812749003984,0.250958322598146,178.08764940239,15.0574993558887,1.0,0.0,0.0010212097407698,,
29,Angiotensin II (Giapreza),N,or,Angiotensin II (Giapreza),mg,1.0,28,192,0.337150156413483,0.543840948721281,0.161723704068528,0.172841635442469,124.15625,191.848261818624,0.0005498821681068,,
30,Argatroban,N,or,Argatroban,mg,1.0,290,2690,54.4893312413491,65.1253635463982,8.64621945416885,13.7390507427318,468.171747211896,587.408125524842,0.0056952081696779,,
31,Atovaquone,N,or,Atovaquone,dose,1.0,66,128,1.0078125,0.0883883476483184,60.46875,5.30330085889911,1.0,0.0,0.0012961508248232,,
32,Atovaquone,N,or,Atovaquone,mg,1.0,4,6,1125.00008940697,410.791950775683,67500.005364418,24647.517046541,1.0,0.0,7.85545954438335e-05,,
33,Atropine,N,or,Atropine,mg,1.0,300,442,1.21832585077611,7.41575873259222,73.0995510465663,444.945523955533,1.0,0.0,0.0058915946582875,,
34,Azithromycin,N,or,Azithromycin,dose,1.0,1608,3672,1.27178649237473,11.6440764204494,76.3071895424836,698.644585226964,1.0,0.0,0.0315789473684211,,
35,Azithromycin,N,or,Azithromycin,grams,1.0,1,1,1.0,11.6440764204494,60.0,698.644585226964,1.0,0.0,1.96386488609584e-05,,
36,Azithromycin,N,or,Azithromycin,mg,1.0,733,1017,362.390364310429,174.346842805306,21743.4218586258,10460.8105683183,1.0,0.0,0.0143951296150825,,
37,Azithromycin,N,or,Erythromycin,dose,1.0,252,865,1.0,0.0,60.0,0.0,1.0,0.0,0.0049489395129615,,
38,Azithromycin,N,or,Erythromycin,mg,1.0,13,50,227.000000923872,101.121264203465,13620.0000554323,6067.27585220791,1.0,0.0,0.0002553024351924,,
39,Aztreonam,N,or,Aztreonam,dose,1.0,432,2928,1.0,0.0,60.0,0.0,1.0,0.0,0.008483896307934,,
40,Aztreonam,N,or,Aztreonam,grams,1.0,8,14,1.71428571428571,0.468807230938495,102.857142857143,28.1284338563097,1.0,0.0,0.0001571091908876,,
41,Aztreonam,N,or,Aztreonam,mg,1.0,12,27,1351.85185185185,704.584094653538,81111.1111111111,42275.0456792123,1.0,0.0,0.0002356637863315,,
42,Bactrim (SMX/TMP),N,or,Bactrim (SMX/TMP),dose,1.0,778,4268,1.12933458294283,8.25068059787493,67.7600749765698,495.040835872496,1.0,0.0,0.0152788688138256,,
43,Bactrim (SMX/TMP),N,or,Bactrim (SMX/TMP),mg,1.0,28,81,387.419766365596,237.281001946365,23245.1859819358,14236.8601167819,1.0,0.0,0.0005498821681068,,
44,Beneprotein,Y,or,Beneprotein,dose,1.0,7,64,1.2651310750889,0.864183768390469,0.196244053308874,0.111642343703193,480.75,383.796738532177,0.0001374705420267,Oral,"dose matters, but due to normalisation ambiguity, use or-gate."
45,Beneprotein,Y,or,Beneprotein,grams,1.0,678,7732,17.4430893872532,25.1937973352351,2.70283042809064,8.90393136518442,554.15481117434,427.713358236866,0.0133150039277298,Oral,"dose matters, but due to normalisation ambiguity, use or-gate."
46,Beneprotein,Y,or,Beneprotein,ounces,1.0,3,12,1.4630543675122,2.63710403291624,0.569475436586446,0.588790975763905,182.25,180.80885185491,5.89159465828751e-05,Oral,"dose matters, but due to normalisation ambiguity, use or-gate."
47,Beneprotein,Y,or,Beneprotein,pg,1.0,1,5,0.455097940406783,0.180646505578061,0.0918871613573533,0.0280786860288878,318.0,127.929668177479,1.96386488609584e-05,Oral,"dose matters, but due to normalisation ambiguity, use or-gate."
48,Beneprotein,Y,or,Beneprotein.,ml,1.0,190,945,89.0857142857143,46.8843697657258,5345.14285714286,2813.06218594354,1.0,0.0,0.003731343283582,Oral,"dose matters, but due to normalisation ambiguity, use or-gate."
49,Bivalirudin (Angiomax),N,or,Bivalirudin (Angiomax),mg,1.0,118,1232,89.7021800557762,90.2131905694273,20.7532636514798,33.1487167958995,402.104707792208,512.026182861362,0.002317360565593,Oral,"dose matters, but due to normalisation ambiguity, use or-gate."
50,Bivalirudin (Angiomax),N,or,Bivalirudin (Angiomax) (Impella),mg,1.0,1,24,29.8568316775345,52.9421574945408,9.28281966480427,0.997794195792441,184.791666666667,309.729331930269,1.96386488609584e-05,Oral,"dose matters, but due to normalisation ambiguity, use or-gate."
51,Boost Glucose Control,Y,or,Boost Glucose Control (1/2),ml,1.0,1,17,197.485701013137,148.421872307939,40.6979407983668,26.7600553798553,391.0,351.874800177563,1.96386488609584e-05,Oral,"dose matters, but due to small sample, consider or-gate."
52,Boost Glucose Control,Y,or,Boost Glucose Control (1/4),ml,1.0,1,1,120.000001788139,148.421872307939,96.0000014305115,26.7600553798553,75.0,351.874800177563,1.96386488609584e-05,Oral,"dose matters, but due to small sample, consider or-gate."
53,Boost Glucose Control,Y,or,Boost Glucose Control (3/4),ml,1.0,1,11,201.128606479276,150.138722853857,58.0449885671789,23.9296338959,220.363636363636,136.491957805046,1.96386488609584e-05,Oral,"dose matters, but due to small sample, consider or-gate."
54,Boost Glucose Control,Y,or,Boost Glucose Control (Full),ml,1.0,204,3002,365.605809091132,359.302717677097,66.0983553135657,279.577567754451,378.978347768155,296.406479231744,0.0040062843676355,Oral,"dose matters, but due to small sample, consider or-gate."
55,Bumetanide (Bumex),Y,sum,Bumetanide (Bumex),mg,1.0,122,1528,6.27743601479664,13.115178316829,53.9014023804576,770.684162658518,192.285994764398,163.835794813805,0.0023959151610369,Dose here is variable and impacts on fluid excretion,"dose matters, but due to small sample, consider or-gate."
56,Calcium Chloride,Y,or,Calcium Chloride,dose,1.0,2,2,1.0,0.0,60.0,0.0,1.0,0.0,3.92772977219167e-05,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
57,Calcium Chloride,Y,or,Calcium Chloride,grams,1.0,79,635,2.38791955636712,1.62568002933895,13.0896408847995,27.2819857686028,225.892913385827,185.374940702762,0.0015514532600157,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
58,Calcium Chloride,Y,or,Calcium Chloride,mg,1.0,108,269,379.343114222662,652.646353418459,18676.2518298974,31236.7752895203,95.5092936802974,171.068320413588,0.0021209740769835,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
59,Calcium Gluconate,Y,or,Calcium Gluconate,grams,1.0,17328,61661,2.26727561664525,2.81527769866158,2.10185007444512,2.62836279620027,69.6874847959002,74.2477530490009,0.340298507462687,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
60,Calcium Gluconate,Y,or,Calcium Gluconate (Bolus),ml,1.0,1120,2150,84.463486414427,41.0507718254549,80.3376155667527,30.624038350578,64.4609302325581,36.796462151518,0.0219952867242734,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
61,Calcium Gluconate,Y,or,Calcium Gluconate (CRRT),grams,1.0,1591,33813,10.5950416762108,18.3845221126185,1.94174534193006,4.60166885055117,348.723419986396,241.998097605656,0.0312450903377848,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
62,Calcium Gluconate,Y,or,Calcium Gluconate (CRRT),mg,1.0,1,2,8.20000053863623,0.282842731053806,1.60000010509975,0.0,307.5,10.6066017177982,1.96386488609584e-05,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
63,Carafate (Sucralfate),N,or,Carafate (Sucralfate),dose,1.0,354,1191,1.0,0.0,60.0,0.0,1.0,0.0,0.0069520816967792,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
64,Carafate (Sucralfate),N,or,Carafate (Sucralfate),grams,1.0,4,9,1.11111111111111,0.333333333333333,66.6666666666667,20.0,1.0,0.0,7.85545954438335e-05,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
65,Carafate (Sucralfate),N,or,Carafate (Sucralfate),mg,1.0,1,1,4.00000018998981,0.333333333333333,240.000011399388,20.0,1.0,0.0,1.96386488609584e-05,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
66,Caspofungin,N,or,Caspofungin,dose,1.0,58,311,1.0,0.0,60.0,0.0,1.0,0.0,0.0011390416339355,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
67,Caspofungin,N,or,Caspofungin,mg,1.0,5,6,57.5000004221996,14.7478811582849,3450.00002533197,884.872869497095,1.0,0.0,9.81932443047918e-05,I'm not sure how to unify the grams and mls here,"dose matters, but due to small sample, consider or-gate."
68,Cath Lab Intake,E,E,Cath Lab Intake,ml,1.0,2172,2447,817.160809154066,972.094373064541,49029.648549244,58325.6623838725,1.0,0.0,0.0426551453260016,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
69,Cath Lab Intake,E,E,Cath Lab Intake,nL,1.0,1,1,99.9999974737875,972.094373064541,5999.99984842725,58325.6623838725,1.0,0.0,1.96386488609584e-05,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
70,Cefazolin,N,or,Cefazolin,dose,1.0,10956,37753,1.00283421185071,0.0710725097009907,60.1700527110428,4.26435058205945,1.0,0.0,0.21516103692066,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
71,Cefazolin,N,or,Cefazolin,grams,1.0,450,1103,1.91568449682684,0.35790104256035,114.94106980961,21.474062553621,1.0,0.0,0.0088373919874312,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
72,Cefazolin,N,or,Cefazolin,mg,1.0,19,31,56.3548388778262,149.625877529165,3381.29033266957,8977.55265174991,1.0,0.0,0.0003731343283582,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
73,Cefepime,N,or,Cefepime,dose,1.0,9237,59174,1.01529387906851,2.09281030798384,60.9176327441106,125.568618479031,1.0,0.0,0.181402199528672,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
74,Cefepime,N,or,Cefepime,grams,1.0,863,2196,1.85154826958106,0.355628184863688,111.092896174863,21.3376910918213,1.0,0.0,0.0169481539670071,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
75,Cefepime,N,or,Cefepime,mcg,1.0,1,3,28.3333326175731,20.2072589111586,1699.99995705439,1212.43553466952,1.0,0.0,1.96386488609584e-05,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
76,Cefepime,N,or,Cefepime,mg,1.0,38,56,345.964285937953,440.720276616422,20757.8571562772,26443.2165969853,1.0,0.0,0.0007462686567164,Could exclude these - not sure what they refer to but not drugs,"dose matters, but due to small sample, consider or-gate."
