,icd_code,icd_version,description
0,5723   ,9,Portal hypertension
1,78959  ,9,Other ascites
2,5715   ,9,Cirrhosis of liver without mention of alcohol
3,07070  ,9,Unspecified viral hepatitis C without hepatic coma
4,496    ,9,"Chronic airway obstruction, not elsewhere classified"
5,29680  ,9,"Bipolar disorder, unspecified"
6,30981  ,9,Posttraumatic stress disorder
7,V1582  ,9,Personal history of tobacco use
8,07071  ,9,Unspecified viral hepatitis C with hepatic coma
9,2875   ,9,"Thrombocytopenia, unspecified"
10,2761   ,9,Hyposmolality and/or hyponatremia
11,V08    ,9,Asymptomatic human immunodeficiency virus [HIV] infection status
12,3051   ,9,Tobacco use disorder
13,07054  ,9,Chronic hepatitis C without mention of hepatic coma
14,V462   ,9,"Other dependence on machines, supplemental oxygen"
15,2767   ,9,Hyperpotassemia
16,78791  ,9,Diarrhea
17,45829  ,9,Other iatrogenic hypotension
18,07044  ,9,Chronic hepatitis C with hepatic coma
19,7994   ,9,Cachexia
20,V4986  ,9,Do not resuscitate status
21,I130   ,10,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
22,I5033  ,10,Acute on chronic diastolic (congestive) heart failure
23,E872   ,10,Acidosis
24,N184   ,10,"Chronic kidney disease, stage 4 (severe)"
25,E1122  ,10,Type 2 diabetes mellitus with diabetic chronic kidney disease
26,N2581  ,10,Secondary hyperparathyroidism of renal origin
27,I2510  ,10,Atherosclerotic heart disease of native coronary artery without angina pectoris
28,E11319 ,10,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
29,D6489  ,10,Other specified anemias
30,E785   ,10,"Hyperlipidemia, unspecified"
31,Z955   ,10,Presence of coronary angioplasty implant and graft
32,Z86718 ,10,Personal history of other venous thrombosis and embolism
33,I252   ,10,Old myocardial infarction
34,Z2239  ,10,Carrier of other specified bacterial diseases
35,G4700  ,10,"Insomnia, unspecified"
36,M1A9XX0,10,"Chronic gout, unspecified, without tophus (tophi)"
37,R0902  ,10,Hypoxemia
38,E1151  ,10,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
39,Z794   ,10,Long term (current) use of insulin
40,E669   ,10,"Obesity, unspecified"
41,Z6831  ,10,"Body mass index (BMI) 31.0-31.9, adult"
42,42823  ,9,Acute on chronic systolic heart failure
43,5854   ,9,"Chronic kidney disease, Stage IV (severe)"
