,code,description
0,225794,Non-invasive Ventilation
1,224264,PICC Line
2,224385,Intubation
3,225792,Invasive Ventilation
4,228286,Intraosseous Device
5,224263,Multi Lumen
6,229351,Foley Catheter
7,225204,Midline
8,224272,IABP line
9,225202,Indwelling Port (PortaCath)
10,224270,Dialysis Catheter
11,225802,Dialysis - CRRT
12,225439,Endoscopy
13,227713,Epidural Placement
14,225448,Percutaneous Tracheostomy
15,225446,PEG Insertion
16,225464,Cardioversion/Defibrillation
17,225450,Radiation Therapy
18,225479,Thoracentesis
19,225479,Thoracentesis
20,225441,Hemodialysis
21,225441,Hemodialysis
22,225430,Cardiac Cath
23,225445,Paracentesis
24,229516,Single Lumen
25,228169,Impella Line
26,229532,Indwelling Port
27,225447,Percutaneous Drain Insertion
28,229526,MAC
29,225203,Pheresis Catheter
30,227551,Plasma Pheresis.
31,229531,Tunneled Access Line
32,225205,RIC
33,225315,Tunneled (Hickman) Line
34,229366,Epoprostenol (Inhaled)
35,225805,Peritoneal Dialysis
36,226237,Open Tracheostomy
37,229519,EVD #1
38,229520,EVD #2
39,225449,Pericardiocentesis
40,229620,Massive Transfusion
41,229523,Subdural Drain
42,229522,SEPS (Subdural Evacuating Port System)
