,code,description,target_code,target_description,aggregation,dose_impact
0,227529,ACD-A Citrate (1000ml),group_0,ACD-A Citrate,sum,Y
1,227528,ACD-A Citrate (500ml),group_0,ACD-A Citrate,sum,Y
2,221261,Abciximab (Reopro),group_1,Abciximab,or,N
3,228315,Acetaminophen-IV,group_2,Acetaminophen-IV,or,N
4,228315,Acetaminophen-IV,group_2,Acetaminophen-IV,or,N
5,228315,Acetaminophen-IV,group_2,Acetaminophen-IV,or,N
6,229057,Acetylcysteine,group_3,Acetylcysteine,or,N
7,229057,Acetylcysteine,group_3,Acetylcysteine,or,N
8,221282,Adenosine,group_4,Adenosine,or,N
9,220862,Albumin 25%,group_5,Albumin 25%,w_sum,Y
10,220864,Albumin 5%,group_5,Albumin 25%,w_sum,Y
11,221319,Alteplase (TPA),group_6,Alteplase (TPA),or,N
12,225838,Ambisome,group_7,Ambisome,or,N
13,225838,Ambisome,group_7,Ambisome,or,N
14,225840,Amikacin,group_8,Amikacin,or,N
15,225840,Amikacin,group_8,Amikacin,or,N
16,225948,Amino Acids,group_9,Amino Acids,or,N
17,225948,Amino Acids,group_9,Amino Acids,or,N
18,229058,Aminocaproic acid (Amicar),group_10,Aminocaproic acid (Amicar),or,N
19,229058,Aminocaproic acid (Amicar),group_10,Aminocaproic acid (Amicar),or,N
20,221342,Aminophylline,group_11,Aminophylline,or,N
21,221347,Amiodarone,group_12,Amiodarone,or,N
22,229654,Amiodarone 450/250,group_12,Amiodarone,or,N
23,228339,Amiodarone 600/500,group_12,Amiodarone,or,N
24,225842,Ampicillin,group_13,Ampicillin,or,N
25,225842,Ampicillin,group_13,Ampicillin,or,N
26,225842,Ampicillin,group_13,Ampicillin,or,N
27,225843,Ampicillin/Sulbactam (Unasyn),group_14,Ampicillin/Sulbactam (Unasyn),or,N
28,225843,Ampicillin/Sulbactam (Unasyn),group_14,Ampicillin/Sulbactam (Unasyn),or,N
29,229709,Angiotensin II (Giapreza),group_15,Angiotensin II (Giapreza),or,N
30,229764,Angiotensin II (Giapreza),group_15,Angiotensin II (Giapreza),or,N
31,225147,Argatroban,group_16,Argatroban,or,N
32,225844,Atovaquone,group_17,Atovaquone,or,N
33,225844,Atovaquone,group_17,Atovaquone,or,N
34,221393,Atropine,group_18,Atropine,or,N
35,225845,Azithromycin,group_19,Azithromycin,or,N
36,225845,Azithromycin,group_19,Azithromycin,or,N
37,225845,Azithromycin,group_19,Azithromycin,or,N
38,225866,Erythromycin,group_19,Azithromycin,or,N
39,225866,Erythromycin,group_19,Azithromycin,or,N
40,225847,Aztreonam,group_20,Aztreonam,or,N
41,225847,Aztreonam,group_20,Aztreonam,or,N
42,225847,Aztreonam,group_20,Aztreonam,or,N
43,225899,Bactrim (SMX/TMP),group_21,Bactrim (SMX/TMP),or,N
44,225899,Bactrim (SMX/TMP),group_21,Bactrim (SMX/TMP),or,N
45,225970,Beneprotein,group_22,Beneprotein,or,Y
46,225970,Beneprotein,group_22,Beneprotein,or,Y
47,225970,Beneprotein,group_22,Beneprotein,or,Y
48,225970,Beneprotein,group_22,Beneprotein,or,Y
49,229583,Beneprotein.,group_22,Beneprotein,or,Y
50,225148,Bivalirudin (Angiomax),group_23,Bivalirudin (Angiomax),or,N
51,229781,Bivalirudin (Angiomax) (Impella),group_23,Bivalirudin (Angiomax),or,N
52,227977,Boost Glucose Control (1/2),group_24,Boost Glucose Control,or,Y
53,227976,Boost Glucose Control (1/4),group_24,Boost Glucose Control,or,Y
54,227978,Boost Glucose Control (3/4),group_24,Boost Glucose Control,or,Y
55,227979,Boost Glucose Control (Full),group_24,Boost Glucose Control,or,Y
56,229639,Bumetanide (Bumex),group_25,Bumetanide (Bumex),sum,Y
57,229618,Calcium Chloride,group_26,Calcium Chloride,or,Y
58,229618,Calcium Chloride,group_26,Calcium Chloride,or,Y
59,229618,Calcium Chloride,group_26,Calcium Chloride,or,Y
60,221456,Calcium Gluconate,group_27,Calcium Gluconate,or,Y
61,229640,Calcium Gluconate (Bolus),group_27,Calcium Gluconate,or,Y
62,227525,Calcium Gluconate (CRRT),group_27,Calcium Gluconate,or,Y
63,227525,Calcium Gluconate (CRRT),group_27,Calcium Gluconate,or,Y
64,225912,Carafate (Sucralfate),group_28,Carafate (Sucralfate),or,N
65,225912,Carafate (Sucralfate),group_28,Carafate (Sucralfate),or,N
66,225912,Carafate (Sucralfate),group_28,Carafate (Sucralfate),or,N
67,225848,Caspofungin,group_29,Caspofungin,or,N
68,225848,Caspofungin,group_29,Caspofungin,or,N
69,225850,Cefazolin,group_30,Cefazolin,or,N
70,225850,Cefazolin,group_30,Cefazolin,or,N
71,225850,Cefazolin,group_30,Cefazolin,or,N
72,225851,Cefepime,group_31,Cefepime,or,N
73,225851,Cefepime,group_31,Cefepime,or,N
74,225851,Cefepime,group_31,Cefepime,or,N
75,225851,Cefepime,group_31,Cefepime,or,N
76,229587,Ceftaroline,group_32,Ceftaroline,or,N
77,229587,Ceftaroline,group_32,Ceftaroline,or,N
78,229587,Ceftaroline,group_32,Ceftaroline,or,N
79,225853,Ceftazidime,group_33,Ceftazidime,or,N
80,225853,Ceftazidime,group_33,Ceftazidime,or,N
81,225853,Ceftazidime,group_33,Ceftazidime,or,N
82,225855,Ceftriaxone,group_34,Ceftriaxone,or,N
83,225855,Ceftriaxone,group_34,Ceftriaxone,or,N
84,225855,Ceftriaxone,group_34,Ceftriaxone,or,N
85,221555,Cisatracurium,group_35,Cisatracurium,or,N
86,221555,Cisatracurium,group_35,Cisatracurium,or,N
87,227526,Citrate,group_36,Citrate,or,N
88,229234,Clevidipine (Cleviprex),group_37,Clevidipine (Cleviprex),or,N
89,225860,Clindamycin,group_38,Clindamycin,or,N
90,225860,Clindamycin,group_38,Clindamycin,or,N
91,225862,Colistin,group_39,Colistin,or,N
92,225862,Colistin,group_39,Colistin,or,N
93,225913,Coumadin (Warfarin),group_40,Coumadin (Warfarin),or,N
94,225913,Coumadin (Warfarin),group_40,Coumadin (Warfarin),or,N
95,225913,Coumadin (Warfarin),group_40,Coumadin (Warfarin),or,N
96,225171,Cryoprecipitate,group_41,Cryoprecipitate,sum,Y
97,227534,Cyclosporine,group_42,Cyclosporine,or,N
98,225823,D5 1/2NS,group_43,D5,w_sum,Y
99,225823,D5 1/2NS,group_43,D5,w_sum,Y
100,225941,D5 1/4NS,group_43,D5,w_sum,Y
101,225827,D5LR,group_43,D5,w_sum,Y
102,225825,D5NS,group_43,D5,w_sum,Y
