,code,description,label,amountuom,derived_unit_normalization_factor,dose_impact
0,227529,ACD-A Citrate (1000ml),ACD-A Citrate (1000ml),ml,1,Y
1,227528,ACD-A Citrate (500ml),ACD-A Citrate (500ml),ml,1,Y
2,221261,Abciximab (Reopro),Abciximab (Reopro),mg,1,N
3,228315,Acetaminophen-IV,Acetaminophen-IV,dose,1,N
4,228315,Acetaminophen-IV,Acetaminophen-IV,grams,1,N
5,228315,Acetaminophen-IV,Acetaminophen-IV,mg,1,N
6,229057,Acetylcysteine,Acetylcysteine,mcg,1,N
7,229057,Acetylcysteine,Acetylcysteine,mg,1,N
8,221282,Adenosine,Adenosine,mg,1,N
9,220862,Albumin 25%,Albumin 25%,ml,1,Y
10,220864,Albumin 5%,Albumin 5%,ml,1,Y
11,221319,Alteplase (TPA),Alteplase (TPA),mg,1,N
12,225838,Ambisome,Ambisome,dose,1,N
13,225838,Ambisome,Ambisome,mg,1,N
14,225840,Amikacin,Amikacin,dose,1,N
15,225840,Amikacin,Amikacin,mg,1,N
16,225948,Amino Acids,Amino Acids,dose,1,N
17,225948,Amino Acids,Amino Acids,grams,1,N
18,229058,Aminocaproic acid (Amicar),Aminocaproic acid (Amicar),grams,1,N
19,229058,Aminocaproic acid (Amicar),Aminocaproic acid (Amicar),mg,1,N
20,221342,Aminophylline,Aminophylline,mg,1,N
21,221347,Amiodarone,Amiodarone,mg,1,N
22,229654,Amiodarone 450/250,Amiodarone 450/250,mg,1,N
23,228339,Amiodarone 600/500,Amiodarone 600/500,mg,1,N
24,225842,Ampicillin,Ampicillin,dose,1,N
25,225842,Ampicillin,Ampicillin,grams,1,N
26,225842,Ampicillin,Ampicillin,mg,1,N
27,225843,Ampicillin/Sulbactam (Unasyn),Ampicillin/Sulbactam (Unasyn),dose,1,N
28,225843,Ampicillin/Sulbactam (Unasyn),Ampicillin/Sulbactam (Unasyn),grams,1,N
29,229709,Angiotensin II (Giapreza),Angiotensin II (Giapreza),mg,1,N
30,229764,Angiotensin II (Giapreza),Angiotensin II (Giapreza),mg,1,N
31,225147,Argatroban,Argatroban,mg,1,N
32,225844,Atovaquone,Atovaquone,dose,1,N
33,225844,Atovaquone,Atovaquone,mg,1,N
34,221393,Atropine,Atropine,mg,1,N
35,225845,Azithromycin,Azithromycin,dose,1,N
36,225845,Azithromycin,Azithromycin,grams,1,N
37,225845,Azithromycin,Azithromycin,mg,1,N
38,225866,Erythromycin,Erythromycin,dose,1,N
39,225866,Erythromycin,Erythromycin,mg,1,N
40,225847,Aztreonam,Aztreonam,dose,1,N
41,225847,Aztreonam,Aztreonam,grams,1,N
42,225847,Aztreonam,Aztreonam,mg,1,N
43,225899,Bactrim (SMX/TMP),Bactrim (SMX/TMP),dose,1,N
44,225899,Bactrim (SMX/TMP),Bactrim (SMX/TMP),mg,1,N
45,225970,Beneprotein,Beneprotein,dose,1,Y
46,225970,Beneprotein,Beneprotein,grams,1,Y
47,225970,Beneprotein,Beneprotein,ounces,1,Y
48,225970,Beneprotein,Beneprotein,pg,1,Y
49,229583,Beneprotein.,Beneprotein.,ml,1,Y
50,225148,Bivalirudin (Angiomax),Bivalirudin (Angiomax),mg,1,N
51,229781,Bivalirudin (Angiomax) (Impella),Bivalirudin (Angiomax) (Impella),mg,1,N
52,227977,Boost Glucose Control (1/2),Boost Glucose Control (1/2),ml,1,Y
53,227976,Boost Glucose Control (1/4),Boost Glucose Control (1/4),ml,1,Y
54,227978,Boost Glucose Control (3/4),Boost Glucose Control (3/4),ml,1,Y
55,227979,Boost Glucose Control (Full),Boost Glucose Control (Full),ml,1,Y
56,229639,Bumetanide (Bumex),Bumetanide (Bumex),mg,1,Y
57,229618,Calcium Chloride,Calcium Chloride,dose,1,Y
58,229618,Calcium Chloride,Calcium Chloride,grams,1,Y
59,229618,Calcium Chloride,Calcium Chloride,mg,1,Y
60,221456,Calcium Gluconate,Calcium Gluconate,grams,1,Y
61,229640,Calcium Gluconate (Bolus),Calcium Gluconate (Bolus),ml,1,Y
62,227525,Calcium Gluconate (CRRT),Calcium Gluconate (CRRT),grams,1,Y
63,227525,Calcium Gluconate (CRRT),Calcium Gluconate (CRRT),mg,1,Y
64,225912,Carafate (Sucralfate),Carafate (Sucralfate),dose,1,N
65,225912,Carafate (Sucralfate),Carafate (Sucralfate),grams,1,N
66,225912,Carafate (Sucralfate),Carafate (Sucralfate),mg,1,N
67,225848,Caspofungin,Caspofungin,dose,1,N
68,225848,Caspofungin,Caspofungin,mg,1,N
69,225850,Cefazolin,Cefazolin,dose,1,N
70,225850,Cefazolin,Cefazolin,grams,1,N
71,225850,Cefazolin,Cefazolin,mg,1,N
72,225851,Cefepime,Cefepime,dose,1,N
73,225851,Cefepime,Cefepime,grams,1,N
74,225851,Cefepime,Cefepime,mcg,1,N
75,225851,Cefepime,Cefepime,mg,1,N
76,229587,Ceftaroline,Ceftaroline,dose,1,N
77,229587,Ceftaroline,Ceftaroline,grams,1,N
78,229587,Ceftaroline,Ceftaroline,mg,1,N
79,225853,Ceftazidime,Ceftazidime,dose,1,N
80,225853,Ceftazidime,Ceftazidime,grams,1,N
81,225853,Ceftazidime,Ceftazidime,mg,1,N
82,225855,Ceftriaxone,Ceftriaxone,dose,1,N
83,225855,Ceftriaxone,Ceftriaxone,grams,1,N
84,225855,Ceftriaxone,Ceftriaxone,mg,1,N
85,221555,Cisatracurium,Cisatracurium,mcg,1,N
86,221555,Cisatracurium,Cisatracurium,mg,1,N
87,227526,Citrate,Citrate,mmol,1,N
88,229234,Clevidipine (Cleviprex),Clevidipine (Cleviprex),mg,1,N
89,225860,Clindamycin,Clindamycin,dose,1,N
90,225860,Clindamycin,Clindamycin,mg,1,N
91,225862,Colistin,Colistin,dose,1,N
92,225862,Colistin,Colistin,mg,1,N
93,225913,Coumadin (Warfarin),Coumadin (Warfarin),dose,1,N
