,label,n_subjects,n,mean_value,std_value,mean_value_per_hour,std_value_per_hour,mean_interval_minutes,std_interval_minutes
0,14 Gauge,636,746,1949.323464961302,1683.3049700412967,57.356680071499056,12.295284113464943,2033.2627345844503,1664.2930701938678
1,16 Gauge,10439,13616,2092.192805237393,1642.7559003263616,58.06709630826588,10.57788796909654,2158.7044653349003,1622.981426176812
2,18 Gauge,29881,53727,2204.2535288484987,1814.6628255692697,57.92854771964414,10.941931613786762,2281.463137714743,1793.8653259145835
3,20 Gauge,36140,81857,2144.8380067950397,1919.5517837617454,57.978497053805185,10.815888579207687,2219.0867854917724,1905.3612176605495
4,22 Gauge,13561,20612,2035.2072389397586,1855.7532862589408,57.90458632511613,11.006369129673889,2104.1274015136814,1848.7661833322425
5,24 Gauge,101,106,1954.8378275681341,2643.648941495471,58.303066037735846,9.990361646474241,1979.4056603773586,2636.45696515428
6,AVA,724,755,3347.030047830161,3196.7878386456227,57.93647902870415,10.933920385598789,3461.1549668874172,3179.4810486230126
7,Abdominal X-Ray,1627,2074,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
8,Angiography,677,794,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
9,Arterial Line,22487,30464,3570.4669323266307,4597.1216928845115,58.00110786502386,10.756253790573254,3699.4429818802523,4618.8362761281405
10,Avalon/Protek Duo,2,2,7466.5,422.14274836836887,60.0,0.0,7466.5,422.14274836836887
11,BAL Fluid Culture,896,1065,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
12,Blakemore / Minnesota Tube D/C,10,10,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
13,Blakemore / MinnesotaTube Inserted,35,36,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
14,Blood Cultured,10118,22379,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
15,Brain Death,34,35,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
16,Bronchoscopy,3423,5976,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
17,C-Spine Clearance,188,188,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
18,CCO PAC,1700,1777,2377.499001125492,2679.2858887660063,58.34667510785968,9.82096733784113,2443.679234665166,2671.09416975859
19,CRRT Filter Change,175,237,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
20,CSF Culture,229,307,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
21,CT scan,12376,21620,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
22,Cardiac Arrest,369,435,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
23,Cardiac Cath,731,807,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
24,Cardioversion/Defibrillation,692,1325,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
25,Cath Lab (Received),236,250,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
26,Cath Lab (Sent),303,326,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
27,Centrimag Inflow Line,1,1,8366.0,,60.0,,8366.000000000002,
28,Centrimag Outflow Line,1,1,8372.0,,59.999999999999986,,8372.000000000002,
29,Cervical Spine,43,52,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
30,Chest Opened,43,61,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
31,Chest Pain,252,331,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
32,Chest Tube Placed,776,953,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
33,Chest Tube Removed,4023,4362,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
34,Chest X-Ray,22777,68889,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
35,Colonoscopy,339,370,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
36,Cordis/Introducer,4737,5279,3035.8715772400205,2955.9745541595507,58.740181221191826,8.597088942326412,3102.050956620572,2958.8479067785224
37,Dialysis - CRRT,1403,3883,2912.24547886938,3182.693168456033,56.754238561432814,13.542327801467007,3104.1730620654134,3233.213364743067
38,Dialysis Catheter,1965,3345,6919.2766776697945,7353.705701493762,58.17568510214102,10.288330930686136,7130.335426008968,7315.467435764018
39,Drain Removed,252,254,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
40,ECMO Inflow Line,26,27,5969.333333333333,3754.5260276508525,60.0,5.74550213672353e-15,5969.333333333333,3754.526027650853
41,ECMO Outflow Line,22,22,6118.363636363636,3835.739359354391,60.0,6.578347465140776e-15,6118.363636363636,3835.739359354391
42,EEG,2160,2648,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
43,EEG (Continuous),582,666,4043.306206206206,4315.398600546399,57.31644144144144,12.365720335786419,4171.078078078078,4265.347295565673
44,EKG,20889,36585,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
45,EKOS,24,30,957.1,421.9934915334024,60.0,3.958334208186582e-15,957.1,421.99349153340245
46,EMG,29,29,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
47,ERCP (Done in unit),9,10,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
48,ERCP (Travel to),439,480,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
49,EVD #1,155,177,12318.211020879766,9069.127399007464,56.61252354051771,13.882408532630857,13093.406779661016,8933.867791085233
50,EVD #2,14,16,11643.134288194444,7834.976203810313,56.252604166666664,14.989583333333332,13635.125,8688.554171053625
51,Endoscopy,1844,2240,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
52,Epidural Placement,121,129,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
53,Epoprostenol (Inhaled),194,227,5158.924180127264,6412.633059862422,58.427863436123346,9.562775583882459,5335.387665198238,6388.154562650104
54,Esophogeal Balloon,163,177,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
55,Extubation,18488,21907,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
56,Fall,61,62,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
57,"Family meeting attempted, unable",16,22,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
58,Family meeting held,1870,2374,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
59,Family met with Case Manager,91,99,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
60,Family met with Social Worker,940,1079,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
61,Family notified of transfer,205,209,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
62,Family updated by MD,5433,8954,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
63,Family updated by RN,7431,16109,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
64,Fluoroscopy,619,708,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
65,Foley Catheter,11589,15137,4043.973659190569,5213.261679702975,57.593900706884895,11.762431437334664,4216.1584858294245,5237.138389220629
66,Hemodialysis,1599,4251,646.3599280561325,1613.0743135777298,51.090390496017285,21.133290035432147,676.5509291931311,1602.8059548417555
67,IABP line,737,850,2238.887001633987,2167.4106592592966,58.874754901960785,8.12894988838333,2276.8376470588237,2155.136421119097
68,ICP - Camino,6,6,5315.166666666667,2222.0732136153088,60.0,0.0,5315.166666666667,2222.073213615309
69,ICP - PbtO2,13,15,5719.643657407407,4589.307781931809,56.00277777777777,15.48117509775687,6070.266666666666,4314.066617583969
70,ICP Bolt Inserted,62,65,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
71,ICP Catheter,495,620,9115.673885524804,7467.369860750527,57.19704301071263,12.663788103146056,9533.196774193548,7301.855237950359
72,Impella Line,82,89,4430.514747191011,4980.877554318821,59.326310861423224,6.355570622204801,4475.988764044944,4958.418723596132
73,Indwelling Port,501,682,3970.044549323884,5098.8276792087245,58.243096285434994,10.115405757963702,4102.6979472140765,5131.817274902857
74,Indwelling Port (PortaCath),905,1278,3724.2676480177356,4262.071226650461,58.73702399582682,8.600435679249737,3816.904538341158,4316.4034920282265
75,Interventional Radiology,1742,2049,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
76,Intraosseous Device,339,383,566.3743236872643,473.64864479134934,58.75261096605744,8.551670836666524,576.8381201044386,470.01330593687806
77,Intraventricular Drain Inserted,146,166,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
78,Intubation,6630,8397,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
79,Invasive Ventilation,22178,28033,3825.751730921187,6522.044851699673,59.66286311371157,4.464051538495185,3856.9896907216494,6559.771741081552
80,Line Placement at Bedside,1257,1665,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
81,Liver Biopsy,34,38,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
82,Lumbar Drain,62,67,5052.686567164179,3239.793709336947,60.0,5.174307782272217e-15,5052.686567164179,3239.793709336947
83,Lumbar Puncture,689,805,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
84,MAC,1008,1073,4053.5410466500985,4463.071681317328,59.051840633737186,7.476480061530408,4111.155638397017,4451.294247581548
85,Magnetic Resonance Imaging,5180,6084,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
86,Massive Transfusion,22,23,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
87,Midline,1038,1213,3531.695606624275,4986.579619942944,58.22447787854215,10.15661586032498,3712.3833470733716,5169.920676465312
88,Multi Lumen,14338,18889,4797.622489830789,5387.610411587279,58.200528967475215,10.220282565663524,4970.962676690137,5415.131601335102
89,Multi Lumen Cooling Catheter,9,9,3945.8032407407413,3142.001839905496,53.33796296296296,19.98611111111111,4462.111111111111,2773.3157701767595
90,NEOB notified,561,614,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
91,Nasal Swab,9731,10729,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
92,Non-invasive Ventilation,2147,2868,1063.0297143778785,1514.3159837670914,59.27864946540824,6.491083549234497,1072.4661785216178,1515.1863365154818
93,Nuclear Medicine,395,442,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
94,Nursing Water Swallow Screening,412,430,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
95,OR Received,12083,14715,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
96,OR Sent,4586,6525,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
97,Open Tracheostomy,24,24,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
98,PA Catheter,4364,4747,2376.0932574373796,2850.7284448582695,58.97751211291446,7.761323644748243,2410.6789551295556,2846.312771447492
99,PEG Insertion,462,476,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
100,PICC Line,7418,10222,5156.685559944246,6610.1857688182745,57.990249788043485,10.786395952735223,5365.523870084132,6664.204255823632
101,Pan Culture,1917,2492,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
102,Paracentesis,528,779,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
103,Pelvis,34,35,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
104,Percutaneous Drain Insertion,302,317,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
105,Percutaneous Tracheostomy,559,590,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
106,Pericardial Drain Removed,51,51,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
107,Pericardiocentesis,37,38,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
108,Peritoneal Dialysis,87,697,679.17969074285,2282.324840292888,34.76924916524627,29.216055747295293,758.454806312769,2263.583519309263
109,Pheresis Catheter,127,148,5621.269242696066,6257.610818674476,59.18975225228581,6.946266683167098,5823.972972972973,6505.917085893138
110,Plasma Pheresis.,139,280,760.6575148809524,2079.4004727039132,53.46443452380952,18.555852841062787,776.3285714285714,2074.2050373131274
111,Pneumothorax,24,26,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
112,Portable CT scan,272,363,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
113,Portable Chest X-Ray,5052,12709,1.0,0.0,59.99999999999998,0.0,1.0000000000000002,0.0
114,Presep Catheter,96,102,4923.323529411765,4582.655573159864,60.0,4.742810512219202e-15,4923.323529411765,4582.655573159864
115,RIC,186,192,2190.868174914662,1621.202845655296,59.06315104169254,7.455448656307808,2226.015625,1601.2208871974885
116,Radiation Therapy,80,162,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
117,Rectal Swab,89,90,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
118,Respiratory Arrest,75,76,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
119,SEPS (Subdural Evacuating Port System),2,3,2844.3333333333335,1359.0277161755507,60.0,0.0,2844.3333333333335,1359.0277161755512
120,Sheath (Arterial),118,124,1209.241700268817,1392.662634883822,56.15490591397849,14.701556762540658,1286.3387096774193,1365.1919778461775
121,Sheath (Venous),1233,1615,1227.1767371861238,1620.5481065253114,58.66643446852733,8.834774938617997,1248.0910216718266,1616.9375948496124
122,Single Lumen,756,845,3821.16950443787,3794.914534747794,59.50330374753452,5.437772120606276,3848.810650887574,3781.7086144589657
123,Small Bore Nasal Enteral Tube Placement,105,117,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
124,Speech and Swallow Evaluation,445,498,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
125,Sputum Culture,4531,6626,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
126,Stool Culture,2046,2692,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
127,Subdural Drain,41,45,2809.4222222222224,1411.4662023598157,60.0,3.862206956061762e-15,2809.4222222222224,1411.4662023598157
128,Surgical Procedure at Bedside,67,71,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
129,TLS Clearance,116,116,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
130,TLS Spine,15,15,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
131,Tandem Heart Inflow Line,25,27,7937.074074074074,7015.463074391322,60.0,5.74550213672353e-15,7937.074074074074,7015.463074391322
132,Tandem Heart Outflow Line,25,28,7716.428571428572,6798.406792818073,60.0,5.469760530157693e-15,7716.428571428572,6798.406792818073
133,Temporary Pacemaker Wires Discontinued,1188,1193,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
134,Temporary Pacemaker Wires Inserted,106,115,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
135,Thoracentesis,519,612,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
136,Trans Esophageal Echo,1288,1458,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
137,Transcranial Doppler,206,423,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
138,Transfer Intercampus by Ambulance,155,162,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
139,Transferred to Floor,110,110,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
140,Transthoracic Echo,9282,11708,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
141,Trauma line,582,610,3093.3845708095146,2977.971964512275,57.74241803277874,11.414569082698288,3226.5,2988.7319865656264
142,Travel to Radiology,266,295,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
143,Trigger Initiated,129,139,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
144,Triple Introducer,48,49,2046.0492488662132,2144.572754416553,37.974489795918366,29.204380151730128,2645.530612244898,1803.1622119446254
145,Tunneled (Hickman) Line,228,298,4305.213401845637,5790.786302685476,58.3903803131991,9.707495278194157,4438.459731543624,5808.438531000103
146,Tunneled Access Line,79,96,6780.8201027199075,12911.102538632653,58.126302083333336,10.487071637609162,6911.677083333333,12873.028977791057
147,Ultrasound,7612,10955,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
148,Unplanned Extubation (non-patient initiated),54,54,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
149,Unplanned Extubation (patient-initiated),678,728,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
150,Unplanned Line/Catheter Removal (Non-Patient initated),40,42,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
151,Unplanned Line/Catheter Removal (Patient Initiated),190,208,1.0,0.0,59.999999999999986,0.0,1.0000000000000002,0.0
152,Urine Culture,8250,12028,1.0,0.0,59.99999999999999,0.0,1.0000000000000002,0.0
