,group,label,n_subjects,n,p_subjects
0,ACD-A Citrate,ACD-A Citrate (1000ml),1331,30619,0.026139041633935586
1,ACD-A Citrate,ACD-A Citrate (500ml),32,585,0.0006284367635506677
2,Abciximab,Abciximab (Reopro),7,7,0.00013747054202670856
3,Acetaminophen-IV,Acetaminophen-IV,14878,64875,0.29218381775333857
4,Acetylcysteine,Acetylcysteine,229,954,0.0044972505891594655
5,Adenosine,Adenosine,230,433,0.004516889238020424
6,Albumin 25%,Albumin 25%,3824,22819,0.07509819324430479
7,Albumin 25%,Albumin 5%,8388,26008,0.16472898664571878
8,Alteplase (TPA),Alteplase (TPA),231,678,0.004536527886881383
9,Ambisome,Ambisome,162,768,0.0031814611154752552
10,Amikacin,Amikacin,92,350,0.0018067556952081696
11,Amino Acids,Amino Acids,652,3827,0.012804399057344854
12,Aminocaproic acid (Amicar),Aminocaproic acid (Amicar),47,261,0.0009230164964650433
13,Aminophylline,Aminophylline,3,20,5.89159465828751e-05
14,Amiodarone,Amiodarone,3189,8917,0.06262765121759623
15,Amiodarone,Amiodarone 450/250,569,3044,0.011174391201885311
16,Amiodarone,Amiodarone 600/500,1677,7660,0.03293401413982718
17,Ampicillin,Ampicillin,1392,10069,0.027336999214454046
18,Ampicillin/Sulbactam (Unasyn),Ampicillin/Sulbactam (Unasyn),1324,8046,0.026001571091908877
19,Angiotensin II (Giapreza),Angiotensin II (Giapreza),28,192,0.0005498821681068342
20,Argatroban,Argatroban,290,2690,0.0056952081696779264
21,Atovaquone,Atovaquone,68,134,0.001335428122545169
22,Atropine,Atropine,300,442,0.00589159465828751
23,Azithromycin,Azithromycin,2148,4690,0.04218381775333857
24,Azithromycin,Erythromycin,262,915,0.005145326001571092
25,Aztreonam,Aztreonam,434,2969,0.00852317360565593
26,Bactrim (SMX/TMP),Bactrim (SMX/TMP),784,4349,0.015396700706991359
27,Beneprotein,Beneprotein,685,7813,0.013452474469756481
28,Beneprotein,Beneprotein.,190,945,0.0037313432835820895
29,Bivalirudin (Angiomax),Bivalirudin (Angiomax),118,1232,0.002317360565593087
30,Bivalirudin (Angiomax),Bivalirudin (Angiomax) (Impella),1,24,1.9638648860958365e-05
31,Boost Glucose Control (1/2),Boost Glucose Control (1/2),1,17,1.9638648860958365e-05
32,Boost Glucose Control (1/2),Boost Glucose Control (1/4),1,1,1.9638648860958365e-05
33,Boost Glucose Control (1/2),Boost Glucose Control (3/4),1,11,1.9638648860958365e-05
34,Boost Glucose Control (1/2),Boost Glucose Control (Full),204,3002,0.004006284367635507
35,Bumetanide (Bumex),Bumetanide (Bumex),122,1528,0.0023959151610369205
36,Calcium Chloride,Calcium Chloride,176,906,0.0034564021995286726
37,Calcium Gluconate,Calcium Gluconate,17328,61661,0.3402985074626866
38,Calcium Gluconate,Calcium Gluconate (Bolus),1120,2150,0.02199528672427337
39,Calcium Gluconate,Calcium Gluconate (CRRT),1592,33815,0.03126472898664572
40,Carafate (Sucralfate),Carafate (Sucralfate),355,1201,0.00697172034564022
41,Caspofungin,Caspofungin,59,317,0.0011586802827965436
42,Cath Lab Intake,Cath Lab Intake,2172,2448,0.04265514532600157
43,Cefazolin,Cefazolin,11153,38887,0.21902985074626866
44,Cefepime,Cefepime,9345,61429,0.18352317360565593
45,Ceftaroline,Ceftaroline,33,286,0.000648075412411626
46,Ceftazidime,Ceftazidime,1782,9767,0.03499607227022781
47,Ceftriaxone,Ceftriaxone,6810,17683,0.13373919874312648
48,Cell Saver,Cell Saver,24,24,0.0004713275726630008
49,Cisatracurium,Cisatracurium,1321,14961,0.025942655145326003
50,Citrate,Citrate,1356,31302,0.026630007855459544
51,Clevidipine (Cleviprex),Clevidipine (Cleviprex),198,4562,0.0038884524744697566
52,Clindamycin,Clindamycin,1061,5938,0.020836606441476828
53,Colistin,Colistin,24,331,0.0004713275726630008
54,Coumadin (Warfarin),Coumadin (Warfarin),1580,2633,0.031029065200314218
55,Cryoprecipitate,Cryoprecipitate,994,3376,0.019520816967792617
56,Cyclosporine,Cyclosporine,12,38,0.0002356637863315004
57,D5 1/2NS,D5 1/2NS,7374,27460,0.14481539670070698
58,D5 1/2NS,D5 1/4NS,203,407,0.003986645718774548
59,D5LR,D5LR,876,3118,0.01720345640219953
60,D5NS,D5NS,1981,5816,0.038904163393558525
61,Daptomycin,Daptomycin,613,2349,0.012038491751767478
62,Dexmedetomidine (Precedex),Dexmedetomidine (Precedex),5965,104399,0.11714454045561665
63,Dextran 40,Dextran 40,20,42,0.00039277297721916735
64,Dextrose 10%,Dextrose 10%,1181,4514,0.02319324430479183
65,Dextrose 10%,Dextrose 20%,69,569,0.0013550667714061272
66,Dextrose 10%,Dextrose 30%,2,13,3.927729772191673e-05
67,Dextrose 10%,Dextrose 40%,7,51,0.00013747054202670856
68,Dextrose 10%,Dextrose 5%,38356,1024580,0.753260015710919
69,Dextrose 10%,Dextrose 50%,5111,13265,0.1003731343283582
70,Dextrose 10%,Dextrose PN,602,3411,0.011822466614296936
71,Diazepam (Valium),Diazepam (Valium),584,4248,0.011468970934799686
